,name,supersector,country,link
45,ANHEUSER-BUSCH INBEV,"Food, Beverage and Tobacco ",BE,https://www.stoxx.com/web/stoxxcom/component-details?key=475531
46,ANTOFAGASTA,Basic Resources,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=926288
47,ARCADIS,Construction and Materials,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=576920
48,ARCELORMITTAL,Basic Resources,LU,https://www.stoxx.com/web/stoxxcom/component-details?key=529525
49,ARGENX,Health Care,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=BE8041
50,ARKEMA,Chemicals,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B0Z5YZ
51,AROUNDTOWN (FRA),Real Estate,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE7075
52,ASHTEAD GRP,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=906045
53,ASM INTERNATIONAL,Technology,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=888051
54,ASML HLDG,Technology,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=546078
55,ASR NEDERLAND NV,Insurance,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL604I
56,ASSA ABLOY,Construction and Materials,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=400930
57,ASSICURAZIONI GENERALI,Insurance,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=405671
58,ASSOCIATED BRITISH FOODS,"Food, Beverage and Tobacco ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=005610
59,ASTRAZENECA,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=098952
60,ATLANTIA,Industrial Goods and Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=555465
61,ATLAS COPCO A,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=405097
62,ATOS,Technology,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=565478
63,AURUBIS,Basic Resources,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=548552
64,AUTO TRADER GROUP,Technology,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB50A6
65,AUTOSTORE HOLDINGS,Industrial Goods and Services,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=NO14Q6
66,AVANZA BANK HLDG,Banks,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=440875
67,AVAST PLC,Technology,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB8098
68,AVEVA GRP,Technology,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=161480
69,AVIVA,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=021623
70,AXA,Insurance,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=458887
71,B&M EUROPEAN VALUE RETAIL,Retail,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB40FA
72,BACHEM HOLDING,Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH002V
73,BAE SYSTEMS,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=012715
74,BAKKAFROST,"Food, Beverage and Tobacco ",NO,https://www.stoxx.com/web/stoxxcom/component-details?key=NO304I
75,BALOISE,Insurance,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=531966
76,BANCO BPM,Banks,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=737826
77,BANK OF IRELAND GROUP,Banks,IE,https://www.stoxx.com/web/stoxxcom/component-details?key=007560
78,BANKINTER,Banks,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=407141
79,BARCLAYS,Banks,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=007820
80,BARRATT DEVELOPMENTS,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=008118
81,BARRY CALLEBAUT,"Food, Beverage and Tobacco ",CH,https://www.stoxx.com/web/stoxxcom/component-details?key=547692
82,BASF,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=408348
83,BAWAG GROUP AG,Banks,AT,https://www.stoxx.com/web/stoxxcom/component-details?key=AT701B
84,BAYER,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=408530
85,BCO BILBAO VIZCAYA ARGENTARIA,Banks,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=550190
86,BCO SABADELL,Banks,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=709538
87,BCO SANTANDER,Banks,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=407228
88,BE SEMICONDUCTOR,Technology,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL704J
89,BEAZLEY,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=321430
90,BECHTLE,Technology,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE7086
91,BEIERSDORF,"Personal Care, Drug and Grocery Stores ",DE,https://www.stoxx.com/web/stoxxcom/component-details?key=408930
92,BEIJER REF AB,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE802G
93,BELIMO HOLDING,Construction and Materials,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH6032
94,BELLWAY,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=904076
95,BERKELEY GRP HLDG,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=009417
96,BIG YELLOW GROUP,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB204X
97,BILLERUDKORSNAS,Basic Resources,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=724037
98,BIOMERIEUX,Health Care,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B01MJR
99,BMW,Automobiles and Parts,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=408522
100,BNP PARIBAS,Banks,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=413366
101,BOLIDEN,Basic Resources,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=726619
102,BOLLORE,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=457270
103,BOUYGUES,Construction and Materials,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=411515
104,BP,Energy,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=013849
105,BRENNTAG,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=EG063
106,BRIDGEPOINT GROUP,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB1F07
107,BRITISH AMERICAN TOBACCO,"Food, Beverage and Tobacco ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=028758
108,BRITISH LAND COMPANY,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=013670
109,BRITVIC,"Food, Beverage and Tobacco ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B0N8QD
110,BT GRP,Telecommunications,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=014084
111,BUCHER INDUSTRIES,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=B07ZBW
112,BUNZL,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=015400
113,BURBERRY,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=317430
114,BUREAU VERITAS,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B28DTJ
115,CAIXABANK,Banks,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=EE009
116,CAP GEMINI,Technology,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=416343
117,CARL ZEISS MEDITEC,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE7020
118,CARLSBERG B,"Food, Beverage and Tobacco ",DK,https://www.stoxx.com/web/stoxxcom/component-details?key=416921
119,CARREFOUR,"Personal Care, Drug and Grocery Stores ",FR,https://www.stoxx.com/web/stoxxcom/component-details?key=417754
120,CASTELLUM,Real Estate,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=523280
121,CD PROJECT SA,Consumer Products and Services,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=PL106H
122,CELLNEX TELECOM,Telecommunications,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=ES502D
123,CENTRICA,Utilities,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=018390
124,CHR HANSEN HLDG,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK002Z
125,CHRISTIAN DIOR,Consumer Products and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=419454
126,CIE FINANCIERE RICHEMONT,Consumer Products and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=473821
127,CLARIANT,Chemicals,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=440755
128,CLOSE BROTHERS GRP,Banks,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=076680
129,CNH Industrial NV,Industrial Goods and Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT002D
130,CNP ASSURANCES,Insurance,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=554398
131,COCA-COLA HBC,"Food, Beverage and Tobacco ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=442072
132,COFINIMMO,Real Estate,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=143451
133,COLOPLAST B,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=420958
134,COMMERZBANK,Banks,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=421342
135,COMPASS GRP,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=053315
136,CONTINENTAL,Automobiles and Parts,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=422060
137,CONVATEC PLC,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB60RO
138,COVESTRO,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE50C8
139,COVIVIO,Real Estate,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=774563
140,CREDIT AGRICOLE,Banks,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=726261
141,CREDIT SUISSE GRP,Financial Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=416030
142,CRH,Construction and Materials,IE,https://www.stoxx.com/web/stoxxcom/component-details?key=018270
143,CRODA INTERNATIONAL,Chemicals,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=900476
144,CTS EVENTIM,Media,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE104W
145,D'IETEREN GROUP,Automobiles and Parts,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=424749
146,DAIMLER TRUCK,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE14EA
147,DANONE,"Food, Beverage and Tobacco ",FR,https://www.stoxx.com/web/stoxxcom/component-details?key=407023
148,DANSKE BANK,Banks,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=426292
149,DASSAULT AVIATION,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR506H
150,DASSAULT SYSTEMS,Technology,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=533004
151,DAVIDE CAMPARI,"Food, Beverage and Tobacco ",IT,https://www.stoxx.com/web/stoxxcom/component-details?key=715672
152,DCC,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=024249
153,DECHRA PHARMACEUTICALS,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB60JG
154,DELIVERY HERO,Consumer Products and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE7042
155,DEMANT,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=521711
156,DERWENT LONDON,Real Estate,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=026527
157,DEUTSCHE BANK,Banks,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=426724
158,DEUTSCHE BOERSE,Financial Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=702196
159,DEUTSCHE POST,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=461785
160,DEUTSCHE TELEKOM,Telecommunications,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=511938
161,DIAGEO,"Food, Beverage and Tobacco ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=039600
162,DIASORIN,Health Care,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=B234WN
163,DINO POLSKA SA,"Personal Care, Drug and Grocery Stores ",PL,https://www.stoxx.com/web/stoxxcom/component-details?key=PL704L
164,DIPLOMA,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB7020
165,DIRECT LINE INSURANCE GROUP,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB20NG
166,DKSH HOLDING,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH201W
167,DNB BANK,Banks,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=426330
168,DOMETIC GROUP AB,Consumer Products and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE50OZ
169,DR MARTENS,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB10PH
170,DRAX GRP,Utilities,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B0MBCM
171,DS SMITH,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=082201
172,DSV,Industrial Goods and Services,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=587296
173,DUFRY GRP,Retail,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=B0R80X
174,E.ON,Utilities,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=492752
175,EASYJET,Travel and Leisure,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=016419
176,EDENRED,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=EF031
177,EDF,Utilities,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B0NJJ1
178,EDP ENERGIAS DE PORTUGAL,Utilities,PT,https://www.stoxx.com/web/stoxxcom/component-details?key=524918
179,EDP RENOVAVEIS,Utilities,PT,https://www.stoxx.com/web/stoxxcom/component-details?key=EL004
180,EIFFAGE,Construction and Materials,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=936469
181,ELECTROCOMPONENTS,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=030964
182,ELECTROLUX B,Consumer Products and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=430899
183,ELEKTA B,Health Care,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=428249
184,ELIA GROUP,Utilities,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=B09M9F
185,ELIS,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR502D
186,ELISA CORPORATION,Telecommunications,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=570151
187,EMS-CHEMIE HLDG,Chemicals,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=429552
188,ENAGAS,Energy,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=738307
189,ENDESA,Utilities,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=431536
190,ENEL,Utilities,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=579802
191,ENGIE,Utilities,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B0C2CQ
192,ENI,Energy,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=443639
193,ENTAIN,Travel and Leisure,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB60DA
194,EPIROC A,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE80GU
195,EQT,Financial Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE90U9
196,EQUINOR,Energy,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=713360
197,ERICSSON LM B,Telecommunications,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=430384
198,ERSTE GROUP BANK,Banks,AT,https://www.stoxx.com/web/stoxxcom/component-details?key=528983
199,ESSILORLUXOTTICA,Health Care,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=430376
200,Essity B,"Personal Care, Drug and Grocery Stores ",SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE707K
201,ETS COLRUYT,"Personal Care, Drug and Grocery Stores ",BE,https://www.stoxx.com/web/stoxxcom/component-details?key=421185
202,EURAZEO,Financial Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=432154
203,EUROFINS SCIENTIFIC,Health Care,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR103A
204,EURONEXT,Financial Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR405F
205,EVOLUTION,Travel and Leisure,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE70AN
206,EVONIK INDUSTRIES,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE305Z
207,EVOTEC,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE70A8
208,EXOR NV,Financial Services,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=445573
209,EXPERIAN,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=038470
210,FABEGE,Real Estate,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=732483
211,FASTIGHETS BALDER B,Real Estate,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE10RY
212,FAURECIA,Automobiles and Parts,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=440044
213,FERGUSON PLC,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=097640
214,FERRARI,Automobiles and Parts,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT509P
215,FERROVIAL,Construction and Materials,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=B03851
216,FINECOBANK,Banks,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT404J
217,FLUGHAFEN ZURICH,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=595140
218,FLUIDRA,Construction and Materials,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=B28V44
219,FLUTTER ENTERTAINMENT,Travel and Leisure,IE,https://www.stoxx.com/web/stoxxcom/component-details?key=025881
220,FORTUM,Utilities,FI,https://www.stoxx.com/web/stoxxcom/component-details?key=557955
221,FREENET,Telecommunications,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=582300
222,FRESENIUS,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=435209
223,FRESENIUS MEDICAL CARE,Health Care,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=512907
224,FUCHS PETROLUB PREF,Chemicals,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=435435
225,FUTURE,Media,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB90HH
226,GALENICA SANTE AG,"Personal Care, Drug and Grocery Stores ",CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH7011
227,GALP ENERGIA,Energy,PT,https://www.stoxx.com/web/stoxxcom/component-details?key=B1FW75
228,GAMES WORKSHOP,Consumer Products and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB9044
229,GEA GRP,Industrial Goods and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=458260
230,GEBERIT,Construction and Materials,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=672626
231,GECINA,Real Estate,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=439180
232,GENMAB,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=459573
233,GENUS,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB203W
234,GEORG FISCHER,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=929718
235,GETINGE B,Health Care,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=438520
236,Getlink,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=EF024
237,GIVAUDAN,Chemicals,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=598061
238,GJENSIDIGE FORSIKRING,Insurance,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=NO002D
239,GLANBIA,"Food, Beverage and Tobacco ",IE,https://www.stoxx.com/web/stoxxcom/component-details?key=IE102Z
240,GLAXOSMITHKLINE,Health Care,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=037178
241,GLENCORE PLC,Basic Resources,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=GB10B3
242,GN STORE NORD,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=435762
243,GRAFTON GRP,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=709000
244,GREGGS,"Personal Care, Drug and Grocery Stores ",GB,https://www.stoxx.com/web/stoxxcom/component-details?key=038580
245,GRIFOLS,Health Care,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=B01SPF
246,GRP BRUXELLES LAMBERT,Financial Services,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=439155
247,GRP SOCIETE GENERALE,Banks,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=481775
248,HALMA,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=040520
249,HANNOVER RUECK,Insurance,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=451180
250,HARGREAVES LANSDOWN,Financial Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=B1VZ0M
251,HAYS,Industrial Goods and Services,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=041610
252,HEIDELBERGCEMENT,Construction and Materials,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=441870
253,HEINEKEN,"Food, Beverage and Tobacco ",NL,https://www.stoxx.com/web/stoxxcom/component-details?key=441930
254,HEINEKEN HLDG,"Food, Beverage and Tobacco ",NL,https://www.stoxx.com/web/stoxxcom/component-details?key=441920
255,HELLOFRESH AG,"Personal Care, Drug and Grocery Stores ",DE,https://www.stoxx.com/web/stoxxcom/component-details?key=DE70DB
256,HELVETIA HLDG,Insurance,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=929869
257,HENKEL PREF,Consumer Products and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=442031
258,HENNES & MAURITZ B,Retail,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=440822
259,HERA,Utilities,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=759800
260,HERMES INTERNATIONAL,Consumer Products and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=441842
261,HEXAGON B,Technology,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=B096C6
