,job_location,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,post_title,pros,status,Work/Life Balance_rolling_10mean,Culture & Values_rolling_10mean,Diversity & Inclusion_rolling_10mean,Career Opportunities_rolling_10mean,Compensation and Benefits_rolling_10mean,Senior Management_rolling_10mean,country,company
2016-02-09,Senior Associate in Brussels,4.0,3.0,4.0,,4.0,2.0,4.0,V,-,V,"- Poor salary
- Hours can be long
- Jack of all trades, master of none
- Focus on short-term profitability and not on long-term growth leads to uninteresting projects and high turn-over
- The growth is based on years of experience and not on merit
- Automatic yealry salary increase still does not justify the poor salary",Would recommend but not all rosy,"- Young People, nice colleagues and atmosphere
- Acceptable job hopping (i.e. various and different assignments)
- Growing autonomy if shows the skills
- Flexibility
- Automatic yearly salary increase","Current Employee, more than 3 years",2.9,3.5,,3.9,2.7,3.1,belgian,pwc
2016-06-03,Anonymous Intern in Ghent,3.0,,,,4.0,,,-,O,V,"Mostly doing small tasks for senior consultants. Nothing really fulfilling, editing ppt and/or excel sheets. Also sometimes had half of the day free time",Internship corporate tax,"Learn to behave in international company, see how the organisation works. Nice work atmosphere and people. A lot of young and ambitious people","Former Intern, less than 1 year",3.111111111111111,3.5555555555555554,,3.9,2.6666666666666665,3.111111111111111,belgian,pwc
2016-06-25,Anonymous Intern in Brussels,5.0,4.0,3.0,,4.0,4.0,5.0,-,V,V,Premises are located way outside the city center and badly connected with public transportation,Student Job - Knowledge center,"Great place to work, good working hours, nice people",Former Intern,3.3333333333333335,3.4444444444444446,,3.9,3.0,3.3333333333333335,belgian,pwc
2016-07-29,Manager in Brussels,5.0,3.0,4.0,,5.0,5.0,4.0,V,V,V,"- Work/life balance (although no more than any other big4/ big company)
- Promotion depends on internal connections and ""friends""",PwC Consulting Technology practice,"- Exciting technology projects and business perspectives
- Capable work colleagues  
- Flexible work schedule
- Great benefits","Former Employee, more than 3 years",3.5555555555555554,3.5555555555555554,,4.0,3.2222222222222223,3.4444444444444446,belgian,pwc
2016-12-04,Associate in Brussels,1.0,3.0,1.0,,3.0,4.0,1.0,X,X,X,"- Boring work
- Lots of corporate BS",Associate at PwC Belgium,"- Good salary package
- Nice colleagues",Former Employee,3.3333333333333335,3.111111111111111,,4.0,3.3333333333333335,3.2222222222222223,belgian,pwc
2017-03-09,PMO in Brussels,4.0,4.0,3.0,,4.0,5.0,2.0,V,O,V,"Slow procedures
structure of the organisation",PMO,"Great benefits
good people
lot of opportunity to grow
international mobility","Current Employee, more than 1 year",3.4444444444444446,3.0,,4.0,3.5555555555555554,3.0,belgian,pwc
2017-03-31,Auditor in Brussels,4.0,3.0,5.0,,5.0,3.0,3.0,V,-,V,"Sometimes though, especially during busy period",PwC - good experience,"Challenging job, lot of future perspective","Current Employee, more than 1 year",3.3333333333333335,3.2222222222222223,,4.2,3.6666666666666665,3.0,belgian,pwc
2017-04-11,Audit Associate in Brussels,4.0,3.0,3.0,,4.0,4.0,5.0,-,O,V,Working in audit should be a passion otherwise you will not like it since you'll have to deal with clients that are not eager to help you and which you still have to treat with the greatest respect since they are your clients. You will experience pressure from your management to get the job done but it depends for the largest part on the willingness of the client to assist you in getting the job done.,Audit,"Excellent culture, dynamic professional environment, good atmosphere, lot of young and fun people to work with, management level is very accessible, perfect job to learn a lot and improve you skill set The company does a lot of efforts to create a good working environment.
The pay is not bad for starters since it includes net allowances and a company car.","Current Employee, more than 1 year",3.5555555555555554,3.2222222222222223,,4.1,3.7777777777777777,3.3333333333333335,belgian,pwc
2017-07-17,Senior Consultant in Sint-Stevens-Woluwe,5.0,,,,,,,O,O,O,"Work-life balance, heavy administrative procedures,",Senior Consultant - M&A Tax,"Dynamic and international working environment, challenging job, great training programmes","Current Employee, more than 3 years",3.5,3.0,,4.111111111111111,3.875,3.25,belgian,pwc
2017-12-26,Anonymous Employee in Brussels,4.0,5.0,3.0,,3.0,5.0,3.0,V,-,V,No sense of real impact from the work done.  Majority of managers lack leadership skills and any kind of vision.,Consultant (Technology),"Great work/life balance, amazing benefits (incl. great company car and unlimited european fuel card)","Former Employee, more than 1 year",3.5,3.25,,4.0,4.0,3.375,belgian,pwc
2018-01-18,Assurance Senior Manager in Antwerp,5.0,3.0,5.0,,5.0,3.0,5.0,V,V,V,Make sure to get placed on the right projects as this is detrimental to the learning experience,PwC,"lots of young, enthusiast colleagues
lots of learning opportunities","Current Employee, more than 8 years",3.5,3.375,,4.111111111111111,4.125,3.5,belgian,pwc
2018-03-01,Anonymous Employee in Brussels,4.0,4.0,5.0,,5.0,5.0,4.0,O,O,O,"work life balance, slow development, flat salary",Senior Associate,"possibilities, values,  influence, creativity, salary","Current Employee, more than 1 year",3.5555555555555554,3.5555555555555554,,4.222222222222222,4.222222222222222,3.5555555555555554,belgian,pwc
2018-03-04,Senior Consultant in Ghent,2.0,1.0,2.0,,4.0,4.0,3.0,V,-,V,"Work life
Appreciation
Learning and development 
Soft skills
HR",Great Place To Develop,"Salary
Team spirit
Work hard play hard","Current Employee, less than 1 year",3.2222222222222223,3.4444444444444446,,4.222222222222222,4.222222222222222,3.3333333333333335,belgian,pwc
2018-03-26,Indirect Tax Consultant in Brussels,2.0,3.0,2.0,,4.0,5.0,1.0,V,V,V,No contact with managers .,Big 4's reputation is true .,Great compensation and colleagues .,"Former Employee, less than 1 year",3.2222222222222223,3.2222222222222223,,4.111111111111111,4.222222222222222,3.0,belgian,pwc
2018-04-08,Tax Consultant in Antwerp,1.0,1.0,1.0,,1.0,1.0,1.0,X,X,X,Very bad organisation- slavery- they want dogs to work for them - no sympathy netwerk colleagues,Junior tax consultant,Luxurious organisation to work for.,"Former Employee, more than 1 year",3.0,3.2222222222222223,,3.888888888888889,3.888888888888889,3.0,belgian,pwc
2018-04-26,Anonymous Employee in Brussels,4.0,3.0,4.0,,4.0,2.0,4.0,-,O,V,"The size of the company sometimes makes it a disadvantage as the company as a whole also comprises an audit business, tax business etc.",Senior consultant M&A,Flexibility and learning curve are huge. Access to interesting projects and you get to learn from very high profile senior people.,"Current Employee, more than 3 years",2.888888888888889,3.3333333333333335,,3.888888888888889,3.5555555555555554,3.2222222222222223,belgian,pwc
2018-06-05,Senior Consultant in Brussels,4.0,2.0,4.0,,4.0,3.0,4.0,-,-,V,Poor work-life balance; not very flexible,Senior Consultant,Dynamic workplace; International experience; Multiple clients,"Current Employee, more than 3 years",2.7777777777777777,3.2222222222222223,,3.7777777777777777,3.5555555555555554,3.3333333333333335,belgian,pwc
2018-08-29,Senior Consultant in Brussels,4.0,4.0,4.0,,3.0,4.0,3.0,O,O,O,"An impersonal organization, politics and turf wars for clients",A Big 5,"Interesting projects for large corporate clients, job security, opportunities for horizontal and vertical career mobility","Former Employee, more than 1 year",2.888888888888889,3.3333333333333335,,3.6666666666666665,3.5555555555555554,3.111111111111111,belgian,pwc
2018-08-30,"Senior Associate in Liège, Liege",4.0,3.0,3.0,,4.0,4.0,3.0,-,-,V,"Compliance is a burden
Lots of administrative tasks
Sometimes lack of opportunity to take initiative",PwC review,"Big corporation with lot of facilities
Varied portfolio of clients
Great team and great ambiances","Current Employee, more than 3 years",2.9,3.3,,3.7,3.6,3.1,belgian,pwc
2018-09-25,Internship in Brussels,3.0,,,,,,,O,O,O,"Poor work-life balance
Quite a lot of pressure",Intern in Tax & Legal Services,"Strong name on the CV
You learn a lot","Former Employee, less than 1 year",2.6666666666666665,3.3333333333333335,,3.7777777777777777,3.4444444444444446,3.111111111111111,belgian,pwc
2019-02-21,Senior Systems & Processes Associate in Brussels,4.0,3.0,4.0,,4.0,4.0,3.0,V,-,V,"Management should better prepare for Busy season, align teams with clients because there are constantly changes to schedules and projects.",Great place to start and develop career (1-7y),"Include car, fuel card, phone, accessories, healthcare (reimbursement)
Trainings, language incentive, travels, clients of multiple industries and/or profiles.","Current Employee, more than 5 years",2.6666666666666665,3.2222222222222223,,3.6666666666666665,3.5555555555555554,2.888888888888889,belgian,pwc
2019-02-28,Senior Manager in Brussels,2.0,1.0,2.0,,4.0,4.0,1.0,O,O,O,In Belgium a small/mid-size company and unfortunately still organized under the form of a Partnership what makes the decision making process and management of stakeholders a real challenge.,Still a Partnership,"The package is convenient, salary, car retirement plan, they would invest in your training","Current Employee, more than 1 year",2.3333333333333335,2.888888888888889,,3.5555555555555554,3.4444444444444446,2.5555555555555554,belgian,pwc
2019-03-08,Intern in Diegem,5.0,4.0,4.0,,5.0,5.0,4.0,O,V,V,"there are not many negative things I can say, only that sometimes you need to stay longer in order to finish your job",Loved it,"very dynamic firm, friendly and young professionals.","Current Intern, less than 1 year",2.6666666666666665,3.111111111111111,,3.6666666666666665,3.5555555555555554,2.6666666666666665,belgian,pwc
2019-07-01,Anonymous Employee in Brussels,4.0,4.0,3.0,,5.0,5.0,3.0,V,-,V,Depending on the teams it can get really demanding at some point.,Professional firm,"Good package, professional on every aspect, easy going colleagues.",Former Employee,2.7777777777777777,3.2222222222222223,,3.7777777777777777,3.5555555555555554,2.888888888888889,belgian,pwc
2019-09-01,Senior Associate in Brussels,4.0,2.0,3.0,,5.0,4.0,3.0,-,-,V,"- sometimes working late required 
- need to be capable of working under pressure",Working at PwC in Belgium,"- very good coaching/development 
- you get to deal with an exciting tasks that make big impact 
- consulting a large companies operating world-wide","Current Employee, more than 3 years",2.888888888888889,3.4444444444444446,,4.222222222222222,3.888888888888889,3.111111111111111,belgian,pwc
2019-09-09,Student Worker in Brussels,4.0,,,,,,,O,O,O,A lack of customization. Too short experience.,Very good first experience.,Learn by doing. Follow-up. Gain a lot of financial knowledge.,"Former Intern, less than 1 year",2.875,3.375,,4.25,4.125,3.0,belgian,pwc
2019-09-29,IT Service Delivery Manager in Brussels,4.0,5.0,3.0,,5.0,4.0,3.0,V,O,V,Hierarchy is sometimes taken too seriously,Part of the service delivery team,A lot of freedom throughout the week,"Current Employee, more than 1 year",3.25,3.25,,4.375,4.25,2.875,belgian,pwc
2019-10-10,Manager in Brussels,3.0,3.0,3.0,,3.0,2.0,3.0,O,O,O,"Below market pay, not a competitive bonus scheme.",Below market pay,Opportunities for PwC EU wide training and networking opportunities. Company car.,"Current Employee, more than 3 years",3.125,3.125,,4.375,4.0,2.875,belgian,pwc
2019-10-14,"Financial Analyst in Liège, Liege",4.0,3.0,4.0,,4.0,3.0,3.0,-,-,V,"Travels, Values, Managements , long road, hard work",Financial analyst,"Life at work ,salary ,company car, fuel, professional","Current Employee, less than 1 year",3.125,3.25,,4.375,3.875,2.875,belgian,pwc
2019-10-27,Anonymous Employee in Brussels,5.0,3.0,5.0,,5.0,5.0,3.0,V,O,V,"As a big firm and many employees, we need to work with different people, and sometimes the structure is not very organise. Because there is too many young people coming and too many people leaving.",Consultant II,"Tribal feeling, very professional, everyone helps to each other. We have the opportunity to learn every single day, but we are responsible for our growth and development. They provide us all the tools to achieve our goals.","Current Employee, less than 1 year",3.111111111111111,3.4444444444444446,,4.444444444444445,4.0,2.888888888888889,belgian,pwc
2020-01-29,System and Process Analyst in Brussels,4.0,5.0,4.0,,5.0,4.0,3.0,V,V,V,Can be stuck in missions you do not like,System and process analyst,"Flexibility, good atmosphere, nice people, various missions in various sectors","Current Employee, more than 1 year",3.3333333333333335,3.4444444444444446,,4.555555555555555,4.0,2.888888888888889,belgian,pwc
2020-04-10,Associate Auditor in Brussels,4.0,3.0,2.0,,5.0,5.0,2.0,V,-,V,"Stress
Work quantity during busy season
Irregular workload during the year (too much during busy season and not enough during low season)",Associate auditor PwC Belgium,"Company car
Fuel card
iphone and subscription
Group insurance","Former Employee, more than 1 year",3.5555555555555554,3.4444444444444446,,4.666666666666667,4.111111111111111,3.0,belgian,pwc
2020-04-20,Manager in Brussels,5.0,4.0,5.0,,5.0,3.0,4.0,O,O,O,"Client's attitude, chargeability, arrogancy, culture",Manager PWC,"Reputation, big organisation, proffessional environment",Current Employee,3.5555555555555554,3.5555555555555554,,4.666666666666667,3.888888888888889,3.0,belgian,pwc
2020-05-06,Associate in Brussels,2.0,1.0,1.0,,2.0,4.0,1.0,O,O,X,"Forced friendly atmosphere
Not much reflection on the purpose and ways of working of the company (besides making money);
Pyramidal structure in which you either move up or out;
Long and painful internal processes",A lawyer in an audit firm,"The pay was above market conditions for a junior lawyer. 
It was possible to enjoy the advantages of being independent (for tax purpose) with the fringe benefits of employees (company car, etc.)","Former Employee, more than 1 year",3.2222222222222223,3.3333333333333335,,4.333333333333333,3.7777777777777777,2.7777777777777777,belgian,pwc
2020-05-10,Senior Manager in Brussels,5.0,4.0,5.0,,5.0,4.0,5.0,O,O,O,"long hours, smaller projects, smaller market",Balanced package,"various benefits, great and smart colleagues",Current Employee,3.4444444444444446,3.5555555555555554,,4.333333333333333,3.7777777777777777,3.0,belgian,pwc
2020-05-20,Associate Consultant in Brussels,4.0,3.0,5.0,,5.0,5.0,2.0,O,O,O,Pushes to hyperspecialisation. Everyone is mostly stimulated to be good at one specific sub-sub task. It's a textbook corporate culture that tries to act more modern than it is.,Good entry point for graduates but in the long run puts you into a little box.,"Nice starter salary and extralegals: Good car + gas, phone, laptop etc. Lots of mobility and solid 'people' brand. Excellent business school.","Current Employee, more than 1 year",3.4,3.7,,4.4,3.9,2.9,belgian,pwc
2020-06-11,Internship in Brussels,4.0,,,,,,,O,O,O,"- heavy workload 
- high hierarchy",Good place to work,"- challenging 
- motivating team 
- learning a lot","Former Intern, less than 1 year",3.2222222222222223,3.7777777777777777,,4.333333333333333,3.888888888888889,2.888888888888889,belgian,pwc
2020-06-15,Manager in Brussels,3.0,2.0,1.0,,3.0,2.0,1.0,O,O,O,"gets toxic sometimes. A typical Corporate with no empathy for human work-life balance. I would say don't generalise this since there are great initiatives taken by the company but how it cascades down is all dependent on partners and directors etc. which is always biased. Mostly cultural values are just statements written on the board. Otherwise, the company tries to facilitate its people at the most. You dont need to fret if you get a good team.",Worked at Advisory,An excellent opportunity for fresh graduates to learn and groom themselves,"Former Employee, less than 1 year",3.111111111111111,3.5555555555555554,,4.333333333333333,3.888888888888889,2.6666666666666665,belgian,pwc
2020-08-24,Senior Associate in Brussels,4.0,1.0,3.0,,5.0,4.0,3.0,V,-,V,"1. Work/life balance - demanding job
2. Political when growing
3. Hierarchical society
4. Not meritocracy oriented",RCC Senior Associate,"1. Challenging environment
2. Getting the opportunity to perform projects in different sectors
3. Variety of projects
4. Great employer with lots of advantages
5. Nice atmosphere
6. Great learning opportunity
7. Ownership and accountability
8. Growth opportunities","Current Employee, more than 1 year",2.888888888888889,3.4444444444444446,,4.444444444444445,4.0,2.6666666666666665,belgian,pwc
2020-09-03,Senior Manager in Brussels,5.0,3.0,5.0,,5.0,5.0,5.0,V,O,V,work life balance may be affected,Big4,"Experience, learning, growth, diversity, opportunities",Current Employee,2.888888888888889,3.4444444444444446,,4.444444444444445,4.0,2.888888888888889,belgian,pwc
2020-09-17,Internship in Antwerp,4.0,4.0,4.0,,5.0,4.0,4.0,-,O,V,I do not have negative experiences,interesting,"a lot of new information
taken care of
nice pay
future prospects","Former Intern, less than 1 year",2.7777777777777777,3.4444444444444446,,4.444444444444445,4.0,3.0,belgian,pwc
2020-10-14,Junior Tax Consultant in Ghent,4.0,2.0,3.0,3.0,4.0,3.0,3.0,-,O,V,"- Asocial
- work life
- recognition
- support",Junior Tax Consultant,"-Learning curve
- Resources of the company
- Decent compensation as a starter","Current Employee, more than 1 year",2.6666666666666665,3.5555555555555554,3.0,4.333333333333333,3.7777777777777777,3.111111111111111,belgian,pwc
2020-10-20,Auditor in Brussels,4.0,,,,,,,O,O,O,"stress level too high
not good paid
too much hours 
too much serious 
too much angry boss",Salaris auditor pwc,"academical
enjoyable
rigorous work
serious work 
too much friendly",Current Employee,2.5,3.375,3.0,4.25,3.875,3.0,belgian,pwc
2020-11-15,Senior Consultant in Brussels,4.0,,,,,,,O,O,O,"Over time not paid, tough management approach",Operations,"Nice and young team, diverse enough, fast paced, good place to learn, people minded company",Current Employee,2.7142857142857144,3.7142857142857144,3.0,4.571428571428571,3.857142857142857,3.2857142857142856,belgian,pwc
2020-11-16,Analyst in Brussels,4.0,3.0,5.0,5.0,3.0,3.0,4.0,O,O,O,"huge workload 
Stress
difficult work life balance",Good experience,"Good experience
work in a good team
gain experience","Former Employee, less than 1 year",2.5714285714285716,3.7142857142857144,4.0,4.285714285714286,3.7142857142857144,3.142857142857143,belgian,pwc
2020-12-11,Data Mining Analyst in Brussels,4.0,5.0,5.0,5.0,5.0,5.0,5.0,V,V,V,hard work work life balance stress stressful hard,awesome,flexible well paid experience young dynamic,Current Employee,2.857142857142857,3.7142857142857144,4.333333333333333,4.285714285714286,3.7142857142857144,3.5714285714285716,belgian,pwc
2020-12-21,Senior Consultant in Brussels,1.0,1.0,1.0,1.0,2.0,1.0,1.0,X,-,X,"The Partners have a short term vision (making sure that their net income does not drop further every year), show a poor leadership and miss firm thinking. They try to add a sauce of purpose and well being but they are far from authentic. I am happy that I work in a LOS and not in IFS as these departments are even worse to work in. The human dimension is lacking everywhere.","Poor leadership, partners only looking after their net income",PWC is still able to attract good talents despite the negative employer brand that we have on the market,Current Employee,2.625,3.375,3.5,4.0,3.375,3.25,belgian,pwc
2020-12-28,Risk Management in Brussels,1.0,1.0,1.0,1.0,1.0,1.0,1.0,O,X,X,"Salary and advantages ridiculously below the market rate, no transparency when it comes to the career opportunities, unprofessional management, no balance between work and private life.",Poor management and no career opportunity,"The restaurant, the Christmas party and the Starbucks coffee machine","Former Employee, more than 1 year",2.5,3.375,3.0,3.75,3.25,3.25,belgian,pwc
2021-01-12,Manager in Brussels,4.0,2.0,4.0,4.0,5.0,3.0,3.0,V,O,O,"- Minimum consideration for work/life balance
- Compensation & benefits per hour of work is below market",Great Company - Hard work,"- Global scope and internal mobility
- Young & motivated teams 
- Opportunity to work for different client/industries in a short timeframe
- Tax-optimized packages","Current Employee, more than 8 years",2.625,3.5,3.1666666666666665,3.75,3.125,3.25,belgian,pwc
2021-01-12,Consultant in Brussels,3.0,3.0,4.0,5.0,2.0,3.0,4.0,V,V,X,"Development plans are very rigid and not tailored to individuals. They use generic methods on everyone, regardless of their employees' skills/specificities. There's potential for better development plans.","Good emplopyer, but rigid development path","Learn to manage people, teach you the consulting rythm, great network","Former Employee, more than 1 year",2.625,3.375,3.4285714285714284,3.375,2.875,3.125,belgian,pwc
2021-01-13,Consultant in Brussels,3.0,3.0,2.0,2.0,5.0,3.0,3.0,V,O,X,"* People first, reimagine the possible is great on paper but PwC is an audit firm.
* No real investment for trainings",No real respect for there value but good on the CV,"* Good for the CV
* Fast moving environment","Former Employee, more than 1 year",2.5,3.125,3.25,3.375,2.75,3.0,belgian,pwc
2021-01-18,Senior Consultant in Brussels,4.0,,,,,,,O,O,O,Not always the choice in terms of projects,Good to jump start a career,Very good opportunities for growth,Current Employee,2.5714285714285716,3.142857142857143,3.2857142857142856,3.2857142857142856,2.7142857142857144,3.0,belgian,pwc
2021-01-20,Senior Associate in Brussels,4.0,4.0,4.0,3.0,5.0,3.0,2.0,O,O,O,Limited transparency from management towards junior level,Great culture,"Good culture with many young people, flexible job content, good pay","Current Employee, more than 1 year",2.75,3.25,3.25,3.5,2.75,2.875,belgian,pwc
2021-01-21,Senior Consultant in Brussels,5.0,4.0,4.0,5.0,5.0,4.0,4.0,V,V,V,Professional environment where you will be judged in that context,Senior Consultant,"Great support, guidance and opportunities","Current Employee, more than 1 year",2.888888888888889,3.3333333333333335,3.4444444444444446,3.6666666666666665,2.888888888888889,3.0,belgian,pwc
2021-01-23,Junior Consultant in Brussels,5.0,3.0,4.0,4.0,5.0,4.0,4.0,V,-,V,"long working hours, low base salary",Junior consultant,"training, growth opportunities, exit opportunities, culture, fringe benefits","Current Employee, less than 1 year",2.888888888888889,3.2222222222222223,3.3333333333333335,3.888888888888889,3.0,3.0,belgian,pwc
2021-01-25,Associate in Brussels,5.0,5.0,4.0,4.0,5.0,3.0,5.0,V,V,V,Working hours can be long,Good learning opportunity,"Room to learn and progress
Flexible working environment","Current Employee, more than 1 year",2.888888888888889,3.111111111111111,3.2222222222222223,3.888888888888889,2.7777777777777777,3.0,belgian,pwc
2021-01-26,Data Analyst in Brussels,4.0,,,,,,,O,O,O,long working hours and a lot of expectation from the start,Very helpful,very inclusive and great learning experience,Former Intern,3.125,3.375,3.5,4.125,3.0,3.25,belgian,pwc
2021-02-03,Consultant in Geel,4.0,3.0,4.0,4.0,4.0,3.0,3.0,V,-,V,Haven't got any issues yet so far,good,The Management is always approachable.,Current Employee,3.375,3.75,3.875,4.5,3.25,3.5,belgian,pwc
2021-02-04,PwC Risk Assurance Associate in Brussels,3.0,3.0,4.0,3.0,4.0,3.0,3.0,O,O,O,"Lack of transparency, No bonus for associates",Associate,"Learning experience, work from home","Current Employee, more than 1 year",3.5,3.75,3.75,4.375,3.25,3.5,belgian,pwc
2021-02-09,Associate in Brussels,5.0,3.0,5.0,5.0,5.0,5.0,5.0,V,-,V,Sometimes it becomes too stressful,Cool,Good wage and benefits. Nice company car.,"Current Employee, more than 1 year",3.5,3.875,3.75,4.75,3.5,3.625,belgian,pwc
2021-02-10,Anonymous Employee in Brussels,5.0,3.0,4.0,5.0,5.0,4.0,4.0,V,-,V,Work life balance is not always great,Senior Consultant,"Learning curve, interesting project, fun and young team, ok salary","Current Employee, more than 3 years",3.5,4.125,4.125,4.75,3.625,3.75,belgian,pwc
2021-02-15,Senior Auditor in Brussels,3.0,2.0,2.0,3.0,4.0,3.0,2.0,-,X,V,"- A lot of incompetent people stuck at manager/senior manager level 
- Continuous efforts by management to reduce the benefits and/or pay to staff in order to increase the profit towards the partners
- Poor work/life balance especially from January to June
- Incompetent people are being promoted because many competent people leave the company for better opportunities (higher pay / better work life balance / ...)",Good to start your career - bad to stay,"- You will learn a lot, especially in the first 3 years of your career
- Great teambuilding activities and relationship with your peers
- Flexible in how you organize your work on a day to day basis","Former Employee, more than 3 years",3.3333333333333335,3.888888888888889,4.0,4.666666666666667,3.5555555555555554,3.5555555555555554,belgian,pwc
